SRCE_KEY,LVL1_KEY,LVL2_KEY,LVL3_KEY,ACCT_ID,ORG_ID,PROJ_ID,FY_CD,PD_NO,SUB_PD_NO,S_JNL_CD,POST_SEQ_NO,AMT,HRS,MODIFIED_BY,TIME_STAMP,ROWVERSION,COMPANY_ID
0,0,0,72,0145-000,1.01,,2016,0,0,BEG,0,178233.77,0,JLAPINGTON,2016-03-23,0,1
0,0,0,73,0150-000,1.01,,2016,0,0,BEG,0,135281.62,0,JLAPINGTON,2016-03-23,0,1
0,0,0,74,0150-010,1.01,,2016,0,0,BEG,0,143839.6,0,JLAPINGTON,2016-03-23,0,1
0,0,0,75,0150-020,1.01,,2016,0,0,BEG,0,89354.45,0,JLAPINGTON,2016-03-23,0,1
0,0,0,76,0160-000,1.01,,2016,0,0,BEG,0,-59130.91,0,JLAPINGTON,2016-03-23,0,1
0,0,0,77,0160-010,1.01,,2016,0,0,BEG,0,-129785.98,0,JLAPINGTON,2016-03-23,0,1
0,0,0,78,0160-020,1.01,,2016,0,0,BEG,0,-27624.44,0,JLAPINGTON,2016-03-23,0,1
0,0,0,79,0200-000,1.01,,2016,0,0,BEG,0,-894771.26,0,49301.ISMAIL.MARMAR,2016-03-31,2,1
0,0,0,80,0205-005,1.01,,2016,0,0,BEG,0,3057.43,0,JLAPINGTON,2016-03-23,0,1
0,0,0,81,0205-010,1.01,,2016,0,0,BEG,0,-37737.11,0,JLAPINGTON,2016-03-23,0,1
0,0,0,82,0208-000,1.01,,2016,0,0,BEG,0,-23318.17,0,JLAPINGTON,2016-03-23,0,1
0,0,0,83,0210-002,1.01,,2016,0,0,BEG,0,-55248.22,0,JLAPINGTON,2016-03-23,0,1
21,14,16,16,0200-000,1.01,,2016,1,1,APV,2,0,0,49301.ISMAIL.MARMAR,2016-03-28,0,1
31,324,1120,0,0208-000,1.01,,2016,1,1,LD,1,-465792.1,-9045.75,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,308,1091,0,0240-000,1.01.01,000400.VAC,2016,1,1,LD,1,9951.98,230,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,323,1117,0,0403-000,1.01.01,000400.HOL,2016,1,1,LD,1,27592.62,575,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,264,953,0,0405-000,1.01.01,000400.BER,2016,1,1,LD,1,452.67,8,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,304,1084,0,0500-100,1.01.01,000501.000.000,2016,1,1,LD,1,594.99,15.75,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,248,902,0,0500-100,1.01.01,000501.000.002,2016,1,1,LD,1,267.66,3.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,300,1073,0,0500-100,1.01.01,000501.000.003,2016,1,1,LD,1,21446.87,199.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,260,938,0,0500-100,1.01.01,000501.000.004,2016,1,1,LD,1,142.07,2.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,292,1048,0,0500-100,1.01.01,000501.000.005.004,2016,1,1,LD,1,839.53,13,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,279,1013,0,0500-100,1.01.01,000501.000.006,2016,1,1,LD,1,8158.59,136,49301.ISMAIL.MARMAR,2016-04-06,0,1
