FY_CD,FY_SEQ_NO,S_STATUS_CD,FY_DESC,MODIFIED_BY,TIME_STAMP,S_CLOSE_ACT_TGT_CD,ROWVERSION
2015,1,O,2015,SDAY,2016-02-16,0,0
2016,2,O,2016,SDAY,2016-02-16,0,0
2017,3,O,2017,49301.ISMAIL.MARMAR,2017-01-05,0,0
2018,4,O,2018,49301.ISMAIL.MARMAR,2018-01-04,0,0
2019,5,O,2019,49301.ISMAIL.MARMAR,2019-01-02,0,0
,,,,,,,
