FS_CD,FS_LN_KEY,ACCT_ID,MODIFIED_BY,TIME_STAMP,COMPANY_ID,S_CF_ACCT_TYP_CD,S_CF_ACTVTY_CD,ROWVERSION
BALSHT,38,0406-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0405-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0404-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0403-000,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0WV,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0WA,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0VT,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0VA,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0UT,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0TX,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0SC,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0RI,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0PR,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0PA,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0OR,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0OH,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0NY,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0NM,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0NJ,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0NH,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0NC,SGOSS,2016-02-13,1,,,0
BALSHT,26,0230-0MS,SGOSS,2016-02-13,1,,,0
BALSHT,38,0883-00C,SGOSS,2016-02-13,1,,,0
BALSHT,38,0883-00B,SGOSS,2016-02-13,1,,,0
BALSHT,38,0899-00R,SGOSS,2016-02-13,1,,,0
BALSHT,38,0998-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-130,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-120,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-110,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-100,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-090,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-080,SGOSS,2016-02-13,1,,,0
BALSHT,38,0999-070,SGOSS,2016-02-13,1,,,0
BALSHT,38,1120-999,SGOSS,2016-02-13,1,,,0
BALSHT,38,1110-800,SGOSS,2016-02-13,1,,,0
BALSHT,38,1110-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,1100-010,SGOSS,2016-02-13,1,,,0
BALSHT,38,1100-005,SGOSS,2016-02-13,1,,,0
BALSHT,38,1100-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,1040-005,SGOSS,2016-02-13,1,,,0
BALSHT,38,1040-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,1030-999,SGOSS,2016-02-13,1,,,0
BALSHT,41,0360-000,SGOSS,2016-02-13,1,,,0
BALSHT,40,0395-000,SGOSS,2016-02-13,1,,,0
BALSHT,39,0390-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,2110-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,2100-005,SGOSS,2016-02-13,1,,,0
BALSHT,38,2100-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,2040-005,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0NJ,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0NH,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0NC,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0MS,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0MO,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0MI,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0ME,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0MD,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0MA,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0LV,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0LA,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0IN,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0IL,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0IA,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0HI,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0GA,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0DE,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0DC,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0CT,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0CA,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-0AZ,SGOSS,2016-02-13,1,,,0
BALSHT,25,0220-000,SGOSS,2016-02-13,1,,,0
BALSHT,25,0210-038,SGOSS,2016-02-13,1,,,0
BALSHT,25,0210-036,SGOSS,2016-02-13,1,,,0
BALSHT,25,0210-034,SGOSS,2016-02-13,1,,,0
BALSHT,25,0210-030,SGOSS,2016-02-13,1,,,0
BALSHT,25,0210-028,SGOSS,2016-02-13,1,,,0
BALSHT,3,0110-010,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00A,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00B,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00C,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00E,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00F,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00H,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00M,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00R,SGOSS,2016-02-13,1,,,0
BALSHT,38,1040-999,SGOSS,2016-02-13,1,,,0
BALSHT,38,0583-00C,SGOSS,2016-02-13,1,,,0
BALSHT,38,0583-10C,SGOSS,2016-02-13,1,,,0
BALSHT,38,0683-00P,SGOSS,2016-02-13,1,,,0
BALSHT,38,0489-01H,SGOSS,2016-02-13,1,,,0
BALSHT,38,0489-02H,SGOSS,2016-02-13,1,,,0
BALSHT,38,0810-00P,SGOSS,2016-02-13,1,,,0
BALSHT,38,0432-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0549-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0547-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0546-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0545-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0544-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0542-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0540-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0534-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0532-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0530-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0526-000,SGOSS,2016-02-13,1,,,0
