PROJ_ID,ORG_ID,POOL_NO,ALLOC_GRP_NO,ACCT_ID,FY_CD,MODIFIED_BY,TIME_STAMP,BURD_AMT,ALLOW_BURD_AMT,COM_AMT,COM_ALLOW_AMT,ROWVERSION,COMPANY_ID,DISC_AMT
010802.002.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,6810.12,6810.12,0,0,0,1,0
010107.00A.003.002.006,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,105.8,105.8,0,0,0,1,0
020101.001.007,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1209.17,0,0,0,0,1,0
010108.000.002,1.01,175,1,1020-000,2016,JLAPINGTON,2017-06-28,1.94,1.94,0,0,0,1,0
020110.000.003.017,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,131.29,0,0,0,0,1,0
010106.001.011.003.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,211.48,211.48,0,0,0,1,0
010102.002.011.003,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,5024.99,5024.99,0,0,0,1,0
010105.003.002.003.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,129.05,129.05,0,0,0,1,0
020804.000.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,15863.67,0,0,0,0,1,0
020110.000.005.001,1.01,160,1,1100-010,2016,JLAPINGTON,2017-06-28,242.05,242.05,0,0,0,1,0
010106.001.008.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,9902.78,9902.78,0,0,0,1,0
010106.001.011.011.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,2306.79,2306.79,0,0,0,1,0
010106.001.011.014.000,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,382.79,382.79,0,0,0,1,0
020602.001.004.000,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,8017.74,0,0,0,0,1,0
010107.00A.004.000.004,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,48.73,48.73,0,0,0,1,0
010105.003.002.006.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,69.75,69.75,0,0,0,1,0
010105.003.002.015.003,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,277.8,277.8,0,0,0,1,0
010106.001.011.009.003,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,197.09,197.09,0,0,0,1,0
010106.001.011.010.001,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,0.59,0.59,0,0,0,1,0
010105.003.002.000,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,60.55,0,0,0,0,1,0
020110.000.003.013,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,11444.36,11444.36,0,0,0,1,0
010105.003.002.005.004,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,186.49,186.49,0,0,0,1,0
020110.000.003.011,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,1340.78,0,0,0,0,1,0
010106.001.008.006,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,2559.65,2559.65,0,0,0,1,0
010106.001.011.002.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,142.45,142.45,0,0,0,1,0
010106.001.011.009.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,109.92,109.92,0,0,0,1,0
010802.002.012,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,1162.51,1162.51,0,0,0,1,0
010802.002.005,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,21.41,21.41,0,0,0,1,0
BP0000.004.001,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010105.003.002.001.003,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,28.88,28.88,0,0,0,1,0
010105.003.002.007.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,293.51,293.51,0,0,0,1,0
010102.002.008.002,1.01.01,175,1,1000-000,2016,JLAPINGTON,2017-06-28,124.36,124.36,0,0,0,1,0
010108.001.003,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,11307.99,11307.99,0,0,0,1,0
010802.000.008,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,3417.21,3417.21,0,0,0,1,0
BP0000.003.006,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010105.003.002.002.004,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,690.31,690.31,0,0,0,1,0
010106.001.011.007.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,450.94,450.94,0,0,0,1,0
010107.00A.003.002.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,5672.51,5672.51,0,0,0,1,0
010108.000.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,23015.26,23015.26,0,0,0,1,0
010803.000.001.001.007,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,14242.4,0,0,0,0,1,0
020602.002.001.001,1.01,175,1,1010-010,2016,JLAPINGTON,2017-06-28,12.65,0,0,0,0,1,0
000850.001.005,1.01.01,300,1,0800-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010108.001.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,2650.33,2650.33,0,0,0,1,0
000501.000.005.001,1.01.01,110,1,0500-100,2016,JLAPINGTON,2017-06-28,109.62,0,0,0,0,1,0
